Pseudo ID,ZIPCODE,gender,Age,S1,S2,S3,S4,Academic Level,ZIPCODE_privacy_0.1
8648688b4e,91952,male,20 < Age ≤ 30,9,20,18,15,L1,91952
65ad02fd1a,65406,male,20 < Age ≤ 30,11,13,11,19,L2,97722
6c33fff1c4,19343,male,20 < Age ≤ 30,19,11,17,9,M2,19343
de03114074,95871,male,20 < Age ≤ 30,17,9,20,7,M2,95871
df1b8307c4,90765,male,20 < Age ≤ 30,11,14,10,20,L2,90765
79f2635f93,17391,male,20 < Age ≤ 30,13,12,10,17,M1,17391
6db486a4fd,71556,male,20 < Age ≤ 30,13,15,14,7,L2,71556
6d0164db83,97250,male,20 < Age ≤ 30,12,14,17,13,L3,51852
ba8ee6a551,11846,male,20 < Age ≤ 30,7,9,11,13,M1,11846
a3cb882a04,67891,male,20 < Age ≤ 30,10,15,7,8,L1,67891
71a59ff292,94504,male,20 < Age ≤ 30,14,12,17,8,L2,94504
ce2d9cc003,19362,male,20 < Age ≤ 30,8,18,15,11,L2,19362
021f39c2f4,42781,male,20 < Age ≤ 30,18,15,7,12,L1,54855
097e7a79ac,88000,male,20 < Age ≤ 30,12,17,19,12,L3,88000
57133377d3,24836,male,20 < Age ≤ 30,20,15,10,14,L1,87535
6f5ee401f6,66607,male,20 < Age ≤ 30,15,19,7,17,M1,66607
d65145bf64,88022,male,20 < Age ≤ 30,15,7,13,11,L1,20579
8cfea35707,39446,male,20 < Age ≤ 30,20,19,8,12,M2,48701
3c7f8ea19a,66962,male,20 < Age ≤ 30,8,9,8,11,L2,66962
40aaa0b869,10485,male,20 < Age ≤ 30,16,19,14,13,M2,75288
b093ff4ec7,30135,male,20 < Age ≤ 30,20,19,19,16,M1,30135
c3e005f793,1043,male,20 < Age ≤ 30,13,7,7,15,M2,1043
3afd20a285,90410,male,20 < Age ≤ 30,11,13,13,11,M2,90410
ac656ebc25,65582,male,20 < Age ≤ 30,10,13,15,13,L3,65582
c15beb1048,1173,male,20 < Age ≤ 30,17,9,16,16,L3,1173
ddcd9c65c1,55650,male,20 < Age ≤ 30,18,14,20,12,M1,35168
20b0214bc6,77116,male,20 < Age ≤ 30,9,8,7,20,M1,86785
00df5875c3,2241,male,20 < Age ≤ 30,11,17,12,10,M2,2241
716de11f27,99761,male,20 < Age ≤ 30,10,15,15,7,L2,99761
1d78f8e078,52889,male,20 < Age ≤ 30,13,12,7,18,M1,15464
b7fe49cd70,15635,male,20 < Age ≤ 30,16,9,10,17,M2,15635
df0a5e2c5c,43956,male,20 < Age ≤ 30,16,7,7,7,L3,43956
69caaef365,6045,male,20 < Age ≤ 30,13,18,13,18,L2,6045
f5fc95231f,91040,male,20 < Age ≤ 30,16,19,8,17,M2,91040
f09c020973,32100,male,20 < Age ≤ 30,11,14,9,7,L1,32100
4f5c327ffe,78637,male,20 < Age ≤ 30,8,7,7,18,M2,41234
462b227bfc,27902,male,20 < Age ≤ 30,10,11,7,16,L1,15691
a90b84f449,62475,male,20 < Age ≤ 30,10,13,11,18,L3,49586
534652cf17,17687,male,20 < Age ≤ 30,9,8,14,13,L1,17687
1ac79ec4e9,53395,male,20 < Age ≤ 30,10,9,10,7,L1,53395
5e91584a3c,55154,male,20 < Age ≤ 30,16,19,16,7,M2,55154
0b8fe5d570,34053,male,20 < Age ≤ 30,16,11,17,12,M1,45398
b7e667aaf0,84464,male,20 < Age ≤ 30,11,14,14,17,M1,84464
f681a028da,59175,male,20 < Age ≤ 30,16,17,16,16,M1,59175
05b4475e2c,82943,male,20 < Age ≤ 30,10,14,18,18,M1,82943
