Pseudo ID,ZIPCODE,gender,Age,S1,S2,S3,S4,Academic Level,ZIPCODE_privacy_0.1
8648688b4e,91952,male,20 < Age ≤ 30,9,20,18,15,L1,-2994292
65ad02fd1a,65406,male,20 < Age ≤ 30,11,13,11,19,L2,-707497
6c33fff1c4,19343,male,20 < Age ≤ 30,19,11,17,9,M2,-55270
de03114074,95871,male,20 < Age ≤ 30,17,9,20,7,M2,-163125
df1b8307c4,90765,male,20 < Age ≤ 30,11,14,10,20,L2,-791034
79f2635f93,17391,male,20 < Age ≤ 30,13,12,10,17,M1,209331
6db486a4fd,71556,male,20 < Age ≤ 30,13,15,14,7,L2,218313
6d0164db83,97250,male,20 < Age ≤ 30,12,14,17,13,L3,-952671
ba8ee6a551,11846,male,20 < Age ≤ 30,7,9,11,13,M1,331278
a3cb882a04,67891,male,20 < Age ≤ 30,10,15,7,8,L1,-799014
71a59ff292,94504,male,20 < Age ≤ 30,14,12,17,8,L2,-55547
ce2d9cc003,19362,male,20 < Age ≤ 30,8,18,15,11,L2,662074
021f39c2f4,42781,male,20 < Age ≤ 30,18,15,7,12,L1,86015
097e7a79ac,88000,male,20 < Age ≤ 30,12,17,19,12,L3,-623424
57133377d3,24836,male,20 < Age ≤ 30,20,15,10,14,L1,-137520
6f5ee401f6,66607,male,20 < Age ≤ 30,15,19,7,17,M1,-536342
d65145bf64,88022,male,20 < Age ≤ 30,15,7,13,11,L1,745986
8cfea35707,39446,male,20 < Age ≤ 30,20,19,8,12,M2,-1094104
3c7f8ea19a,66962,male,20 < Age ≤ 30,8,9,8,11,L2,-486231
40aaa0b869,10485,male,20 < Age ≤ 30,16,19,14,13,M2,1069352
b093ff4ec7,30135,male,20 < Age ≤ 30,20,19,19,16,M1,8991
c3e005f793,1043,male,20 < Age ≤ 30,13,7,7,15,M2,1561928
3afd20a285,90410,male,20 < Age ≤ 30,11,13,13,11,M2,1680872
ac656ebc25,65582,male,20 < Age ≤ 30,10,13,15,13,L3,-77886
c15beb1048,1173,male,20 < Age ≤ 30,17,9,16,16,L3,78302
ddcd9c65c1,55650,male,20 < Age ≤ 30,18,14,20,12,M1,-581610
20b0214bc6,77116,male,20 < Age ≤ 30,9,8,7,20,M1,805564
00df5875c3,2241,male,20 < Age ≤ 30,11,17,12,10,M2,-449120
716de11f27,99761,male,20 < Age ≤ 30,10,15,15,7,L2,-1658592
