Pseudo ID,ZIPCODE,gender,Age,S1,S2,S3,S4,Academic Level
8648688b4e,93948,male,20 < Age ≤ 30,9,20,18,15,L1
65ad02fd1a,65416,male,20 < Age ≤ 30,11,13,11,19,L2
6c33fff1c4,16423,male,20 < Age ≤ 30,19,11,17,9,M2
de03114074,821,male,20 < Age ≤ 30,17,9,20,7,M2
df1b8307c4,60015,male,20 < Age ≤ 30,11,14,10,20,L2
79f2635f93,15897,male,20 < Age ≤ 30,13,12,10,17,M1
6db486a4fd,79186,male,20 < Age ≤ 30,13,15,14,7,L2
6d0164db83,91180,male,20 < Age ≤ 30,12,14,17,13,L3
ba8ee6a551,14656,male,20 < Age ≤ 30,7,9,11,13,M1
a3cb882a04,93898,male,20 < Age ≤ 30,10,15,7,8,L1
71a59ff292,94988,male,20 < Age ≤ 30,14,12,17,8,L2
ce2d9cc003,19891,male,20 < Age ≤ 30,8,18,15,11,L2
021f39c2f4,42932,male,20 < Age ≤ 30,18,15,7,12,L1
097e7a79ac,48210,male,20 < Age ≤ 30,12,17,19,12,L3
57133377d3,37830,male,20 < Age ≤ 30,20,15,10,14,L1
6f5ee401f6,51607,male,20 < Age ≤ 30,15,19,7,17,M1
d65145bf64,78128,male,20 < Age ≤ 30,15,7,13,11,L1
8cfea35707,18447,male,20 < Age ≤ 30,20,19,8,12,M2
3c7f8ea19a,60582,male,20 < Age ≤ 30,8,9,8,11,L2
40aaa0b869,80281,male,20 < Age ≤ 30,16,19,14,13,M2
b093ff4ec7,40605,male,20 < Age ≤ 30,20,19,19,16,M1
c3e005f793,1062,male,20 < Age ≤ 30,13,7,7,15,M2
3afd20a285,93310,male,20 < Age ≤ 30,11,13,13,11,M2
ac656ebc25,85287,male,20 < Age ≤ 30,10,13,15,13,L3
c15beb1048,6135,male,20 < Age ≤ 30,17,9,16,16,L3
ddcd9c65c1,55970,male,20 < Age ≤ 30,18,14,20,12,M1
20b0214bc6,71117,male,20 < Age ≤ 30,9,8,7,20,M1
00df5875c3,5511,male,20 < Age ≤ 30,11,17,12,10,M2
716de11f27,61766,male,20 < Age ≤ 30,10,15,15,7,L2
1d78f8e078,52436,male,20 < Age ≤ 30,13,12,7,18,M1
b7fe49cd70,15670,male,20 < Age ≤ 30,16,9,10,17,M2
df0a5e2c5c,44957,male,20 < Age ≤ 30,16,7,7,7,L3
69caaef365,4085,male,20 < Age ≤ 30,13,18,13,18,L2
f5fc95231f,41034,male,20 < Age ≤ 30,16,19,8,17,M2
f09c020973,32177,male,20 < Age ≤ 30,11,14,9,7,L1
4f5c327ffe,48667,male,20 < Age ≤ 30,8,7,7,18,M2
462b227bfc,80901,male,20 < Age ≤ 30,10,11,7,16,L1
a90b84f449,68878,male,20 < Age ≤ 30,10,13,11,18,L3
534652cf17,87621,male,20 < Age ≤ 30,9,8,14,13,L1
1ac79ec4e9,53015,male,20 < Age ≤ 30,10,9,10,7,L1
5e91584a3c,72158,male,20 < Age ≤ 30,16,19,16,7,M2
0b8fe5d570,31758,male,20 < Age ≤ 30,16,11,17,12,M1
b7e667aaf0,84746,male,20 < Age ≤ 30,11,14,14,17,M1
f681a028da,51196,male,20 < Age ≤ 30,16,17,16,16,M1
05b4475e2c,52433,male,20 < Age ≤ 30,10,14,18,18,M1
b21dee5fe6,2844,male,20 < Age ≤ 30,9,17,16,18,M2
859d5e3fb1,9598,male,20 < Age ≤ 30,15,11,17,17,L2
1d508bd748,42708,male,20 < Age ≤ 30,12,19,11,20,M2
b96bf5154c,78652,male,20 < Age ≤ 30,15,17,11,11,M1
5d022f96f7,40152,male,20 < Age ≤ 30,20,12,15,13,L2
9a9b5f9c7f,15043,male,20 < Age ≤ 30,20,10,10,14,M1
a04a0252d6,65304,male,20 < Age ≤ 30,15,13,18,10,L3
7890c7a7be,81558,male,20 < Age ≤ 30,16,12,9,8,L3
7548e78c44,40358,male,20 < Age ≤ 30,9,16,16,14,M1
f94a9c8d7f,50998,male,20 < Age ≤ 30,9,9,12,10,L3
611126b472,74179,male,20 < Age ≤ 30,17,18,17,10,L1
e3cee9fa71,44612,male,20 < Age ≤ 30,9,17,8,19,M2
cb2ce905fe,10463,male,20 < Age ≤ 30,13,14,14,14,L1
d298d5f173,33386,male,20 < Age ≤ 30,16,15,8,13,M2
0a953c0ed8,954,male,20 < Age ≤ 30,11,16,7,7,L3
3821282932,72102,male,20 < Age ≤ 30,9,20,12,15,L2
a9c8df8c20,50890,male,20 < Age ≤ 30,19,17,12,18,M1
0bf3a0068c,89321,male,20 < Age ≤ 30,11,19,17,13,M1
c2bac0d16a,46684,male,20 < Age ≤ 30,8,12,16,10,L1
d3b82e0ac0,29509,male,20 < Age ≤ 30,16,12,7,15,M1
910a2efaa7,53258,male,20 < Age ≤ 30,18,14,16,13,L3
a5ea0a2204,15661,male,20 < Age ≤ 30,13,20,10,10,M1
82ad0895f4,6793,male,20 < Age ≤ 30,13,16,19,7,L1
af8cc4a958,47768,male,20 < Age ≤ 30,11,15,8,10,L3
902928df53,21912,male,20 < Age ≤ 30,17,13,20,20,M1
dd74421318,4458,male,20 < Age ≤ 30,14,18,16,10,M1
8043a296b0,96435,male,20 < Age ≤ 30,14,19,17,9,L3
e56c2e6f3d,99941,male,20 < Age ≤ 30,13,11,8,7,M1
f469e24097,11288,male,20 < Age ≤ 30,18,10,14,16,M2
fbe065f446,61318,male,20 < Age ≤ 30,14,20,17,11,L1
acd6f2c13b,30337,male,20 < Age ≤ 30,13,11,14,12,L3
0883ef2efb,60515,male,20 < Age ≤ 30,10,16,14,11,M2
889e0f2e38,49955,male,20 < Age ≤ 30,9,12,10,15,L2
9ce759b6ea,5557,male,20 < Age ≤ 30,15,17,18,15,L3
fa8903e78b,32173,male,20 < Age ≤ 30,18,10,13,20,L1
f4cb727124,40125,male,20 < Age ≤ 30,20,19,12,12,L2
563c290ad4,79959,male,20 < Age ≤ 30,18,12,18,20,M2
5d3f1eba86,9666,male,20 < Age ≤ 30,16,12,12,19,L2
676dc66567,46435,male,20 < Age ≤ 30,15,12,20,9,L1
1d32301bf3,62427,male,20 < Age ≤ 30,9,19,7,10,L3
76620b595c,12174,male,20 < Age ≤ 30,12,16,8,14,L1
effa313dc5,99447,male,20 < Age ≤ 30,9,17,16,10,M1
033405d851,2637,male,20 < Age ≤ 30,8,11,7,17,L2
29c0bd33fb,37439,male,20 < Age ≤ 30,16,12,15,12,M2
2cc01f5903,29924,male,20 < Age ≤ 30,19,10,9,10,M2
405937fa40,51714,male,20 < Age ≤ 30,9,9,16,16,L3
1c133eda15,77738,male,20 < Age ≤ 30,19,14,13,20,L3
f4ce1831d5,16446,male,20 < Age ≤ 30,19,12,12,17,M1
4194bc485b,32850,male,20 < Age ≤ 30,10,11,11,9,M1
ec10c3f268,35117,male,20 < Age ≤ 30,18,7,14,12,L1
35953f1f9f,96565,male,20 < Age ≤ 30,11,10,12,12,L2
f10326c01e,53986,male,20 < Age ≤ 30,20,13,14,14,M2
37be90ad7a,44729,male,20 < Age ≤ 30,9,18,13,9,M1
1a28f0a27f,29479,male,20 < Age ≤ 30,11,17,7,15,M1
e90a9b6385,30862,male,20 < Age ≤ 30,17,14,13,15,L3
67d097891a,40732,male,20 < Age ≤ 30,15,19,14,11,L3
bf8c60be12,40680,male,20 < Age ≤ 30,19,12,13,19,L1
f7c14ab0a4,52974,male,20 < Age ≤ 30,17,18,10,12,L1
896a887fa6,7598,male,20 < Age ≤ 30,14,13,15,13,L2
a4c3320d90,59110,male,20 < Age ≤ 30,10,7,10,14,L1
afb7f9a698,19219,male,20 < Age ≤ 30,19,10,7,11,L3
25789b3dfa,25505,male,20 < Age ≤ 30,12,16,18,8,M1
4610fb2896,9320,male,20 < Age ≤ 30,14,16,20,11,M1
