Pseudo ID,ZIPCODE,gender,Age,S1,S2,S3,S4,Academic Level,ZIPCODE_privacy_0.1
8648688b4e,91952,male,20 < Age ≤ 30,9,20,18,15,L1,91952
65ad02fd1a,65406,male,20 < Age ≤ 30,11,13,11,19,L2,65406
6c33fff1c4,19343,male,20 < Age ≤ 30,19,11,17,9,M2,19343
de03114074,95871,male,20 < Age ≤ 30,17,9,20,7,M2,95871
df1b8307c4,90765,male,20 < Age ≤ 30,11,14,10,20,L2,90765
79f2635f93,17391,male,20 < Age ≤ 30,13,12,10,17,M1,17391
6db486a4fd,71556,male,20 < Age ≤ 30,13,15,14,7,L2,71556
6d0164db83,97250,male,20 < Age ≤ 30,12,14,17,13,L3,36334
ba8ee6a551,11846,male,20 < Age ≤ 30,7,9,11,13,M1,11846
a3cb882a04,67891,male,20 < Age ≤ 30,10,15,7,8,L1,67891
71a59ff292,94504,male,20 < Age ≤ 30,14,12,17,8,L2,38724
ce2d9cc003,19362,male,20 < Age ≤ 30,8,18,15,11,L2,19362
021f39c2f4,42781,male,20 < Age ≤ 30,18,15,7,12,L1,31942
097e7a79ac,88000,male,20 < Age ≤ 30,12,17,19,12,L3,19577
57133377d3,24836,male,20 < Age ≤ 30,20,15,10,14,L1,24836
6f5ee401f6,66607,male,20 < Age ≤ 30,15,19,7,17,M1,66607
d65145bf64,88022,male,20 < Age ≤ 30,15,7,13,11,L1,88022
8cfea35707,39446,male,20 < Age ≤ 30,20,19,8,12,M2,81036
3c7f8ea19a,66962,male,20 < Age ≤ 30,8,9,8,11,L2,66962
40aaa0b869,10485,male,20 < Age ≤ 30,16,19,14,13,M2,10485
b093ff4ec7,30135,male,20 < Age ≤ 30,20,19,19,16,M1,18390
c3e005f793,1043,male,20 < Age ≤ 30,13,7,7,15,M2,1043
3afd20a285,90410,male,20 < Age ≤ 30,11,13,13,11,M2,90410
ac656ebc25,65582,male,20 < Age ≤ 30,10,13,15,13,L3,45791
c15beb1048,1173,male,20 < Age ≤ 30,17,9,16,16,L3,9005
ddcd9c65c1,55650,male,20 < Age ≤ 30,18,14,20,12,M1,55650
20b0214bc6,77116,male,20 < Age ≤ 30,9,8,7,20,M1,74055
00df5875c3,2241,male,20 < Age ≤ 30,11,17,12,10,M2,2241
716de11f27,99761,male,20 < Age ≤ 30,10,15,15,7,L2,99761
1d78f8e078,52889,male,20 < Age ≤ 30,13,12,7,18,M1,52889
b7fe49cd70,15635,male,20 < Age ≤ 30,16,9,10,17,M2,85451
df0a5e2c5c,43956,male,20 < Age ≤ 30,16,7,7,7,L3,43956
69caaef365,6045,male,20 < Age ≤ 30,13,18,13,18,L2,6045
f5fc95231f,91040,male,20 < Age ≤ 30,16,19,8,17,M2,91040
f09c020973,32100,male,20 < Age ≤ 30,11,14,9,7,L1,32100
4f5c327ffe,78637,male,20 < Age ≤ 30,8,7,7,18,M2,78637
462b227bfc,27902,male,20 < Age ≤ 30,10,11,7,16,L1,27902
a90b84f449,62475,male,20 < Age ≤ 30,10,13,11,18,L3,62475
534652cf17,17687,male,20 < Age ≤ 30,9,8,14,13,L1,17687
1ac79ec4e9,53395,male,20 < Age ≤ 30,10,9,10,7,L1,53310
5e91584a3c,55154,male,20 < Age ≤ 30,16,19,16,7,M2,35400
0b8fe5d570,34053,male,20 < Age ≤ 30,16,11,17,12,M1,34053
b7e667aaf0,84464,male,20 < Age ≤ 30,11,14,14,17,M1,84464
f681a028da,59175,male,20 < Age ≤ 30,16,17,16,16,M1,59175
05b4475e2c,82943,male,20 < Age ≤ 30,10,14,18,18,M1,82943
b21dee5fe6,9584,male,20 < Age ≤ 30,9,17,16,18,M2,9584
859d5e3fb1,9695,male,20 < Age ≤ 30,15,11,17,17,L2,9695
1d508bd748,43716,male,20 < Age ≤ 30,12,19,11,20,M2,17594
b96bf5154c,78179,male,20 < Age ≤ 30,15,17,11,11,M1,78179
5d022f96f7,40123,male,20 < Age ≤ 30,20,12,15,13,L2,22656
9a9b5f9c7f,18993,male,20 < Age ≤ 30,20,10,10,14,M1,18993
a04a0252d6,48384,male,20 < Age ≤ 30,15,13,18,10,L3,48384
7890c7a7be,41653,male,20 < Age ≤ 30,16,12,9,8,L3,96920
7548e78c44,54458,male,20 < Age ≤ 30,9,16,16,14,M1,80142
f94a9c8d7f,29948,male,20 < Age ≤ 30,9,9,12,10,L3,29948
611126b472,74467,male,20 < Age ≤ 30,17,18,17,10,L1,16946
e3cee9fa71,46416,male,20 < Age ≤ 30,9,17,8,19,M2,46416
cb2ce905fe,10782,male,20 < Age ≤ 30,13,14,14,14,L1,10782
d298d5f173,91486,male,20 < Age ≤ 30,16,15,8,13,M2,38932
0a953c0ed8,38953,male,20 < Age ≤ 30,11,16,7,7,L3,38953
3821282932,42942,male,20 < Age ≤ 30,9,20,12,15,L2,42942
a9c8df8c20,70790,male,20 < Age ≤ 30,19,17,12,18,M1,70790
0bf3a0068c,25351,male,20 < Age ≤ 30,11,19,17,13,M1,25351
c2bac0d16a,49314,male,20 < Age ≤ 30,8,12,16,10,L1,49314
d3b82e0ac0,76508,male,20 < Age ≤ 30,16,12,7,15,M1,33130
910a2efaa7,59953,male,20 < Age ≤ 30,18,14,16,13,L3,59953
a5ea0a2204,22661,male,20 < Age ≤ 30,13,20,10,10,M1,22661
82ad0895f4,6375,male,20 < Age ≤ 30,13,16,19,7,L1,6375
af8cc4a958,42960,male,20 < Age ≤ 30,11,15,8,10,L3,42960
902928df53,11916,male,20 < Age ≤ 30,17,13,20,20,M1,81628
dd74421318,3608,male,20 < Age ≤ 30,14,18,16,10,M1,3608
8043a296b0,26739,male,20 < Age ≤ 30,14,19,17,9,L3,26739
e56c2e6f3d,95821,male,20 < Age ≤ 30,13,11,8,7,M1,95821
f469e24097,19348,male,20 < Age ≤ 30,18,10,14,16,M2,19348
fbe065f446,62383,male,20 < Age ≤ 30,14,20,17,11,L1,62383
acd6f2c13b,31435,male,20 < Age ≤ 30,13,11,14,12,L3,59745
0883ef2efb,10118,male,20 < Age ≤ 30,10,16,14,11,M2,65837
889e0f2e38,11950,male,20 < Age ≤ 30,9,12,10,15,L2,23010
9ce759b6ea,85757,male,20 < Age ≤ 30,15,17,18,15,L3,85757
fa8903e78b,32771,male,20 < Age ≤ 30,18,10,13,20,L1,32771
f4cb727124,43525,male,20 < Age ≤ 30,20,19,12,12,L2,43525
563c290ad4,78669,male,20 < Age ≤ 30,18,12,18,20,M2,78669
5d3f1eba86,9421,male,20 < Age ≤ 30,16,12,12,19,L2,9421
676dc66567,53432,male,20 < Age ≤ 30,15,12,20,9,L1,53432
1d32301bf3,60427,male,20 < Age ≤ 30,9,19,7,10,L3,60427
