Pseudo ID,ZIPCODE,gender,Age,S1,S2,S3,S4
8648688b4e,91952,male,28,9,20,18,15
f74afb2b09,97511,male,19,10,16,13,19
65ad02fd1a,65406,male,24,11,13,11,19
6c33fff1c4,19343,male,26,19,11,17,9
72bce27b1f,81436,male,20,17,13,10,12
de03114074,95871,male,22,17,9,20,7
df1b8307c4,90765,male,24,11,14,10,20
0d56c0f03d,80976,female,24,10,12,9,14
79f2635f93,17391,male,23,13,12,10,17
6db486a4fd,71556,male,24,13,15,14,7
bcc6ac004e,90642,female,25,8,10,11,11
8fdf7cc662,19857,female,21,16,7,20,7
c3832e357c,69983,female,26,17,20,15,19
6d0164db83,97250,male,28,12,14,17,13
ba8ee6a551,11846,male,26,7,9,11,13
a3cb882a04,67891,male,25,10,15,7,8
9867cceecf,90090,male,19,7,17,12,13
af48142411,14452,female,28,16,17,8,13
71a59ff292,94504,male,24,14,12,17,8
ce2d9cc003,19362,male,21,8,18,15,11
021f39c2f4,42781,male,23,18,15,7,12
097e7a79ac,88000,male,21,12,17,19,12
57133377d3,24836,male,24,20,15,10,14
241091f879,47696,female,21,14,18,20,12
6f5ee401f6,66607,male,27,15,19,7,17
700b68b209,4739,female,19,19,14,7,19
2ffcd12ae2,53262,female,27,9,18,9,7
830f4d632a,99630,female,23,12,10,12,18
56c898caec,64628,male,19,11,10,18,9
7736eb134d,11027,female,22,8,17,16,16
8e59669aad,2037,female,19,16,11,13,11
2f68b89ca2,57286,female,24,15,8,11,10
9f05fe42bb,19046,female,26,9,7,10,10
810ad0d0cf,12320,female,23,7,19,18,19
064a420448,40631,female,20,19,9,7,10
94e58af311,87019,female,24,7,18,15,15
d65145bf64,88022,male,22,15,7,13,11
71f4182083,4767,female,24,9,16,19,19
8cfea35707,39446,male,24,20,19,8,12
3c7f8ea19a,66962,male,24,8,9,8,11
40aaa0b869,10485,male,22,16,19,14,13
09f18e195e,80473,female,21,17,9,9,15
10b9552740,60300,male,20,10,10,13,10
b093ff4ec7,30135,male,24,20,19,19,16
f33bb77136,85426,female,27,16,7,14,13
c3e005f793,1043,male,28,13,7,7,15
ace88ae840,98106,male,20,14,9,9,12
5a37983540,75034,female,24,18,9,20,19
3afd20a285,90410,male,25,11,13,13,11
ac656ebc25,65582,male,21,10,13,15,13
daf872193a,76557,female,22,13,8,20,8
7865fcf2cf,13560,female,23,9,19,18,18
373101262c,3157,female,19,12,18,11,14
c15beb1048,1173,male,27,17,9,16,16
715e9bb340,17805,female,21,10,16,17,8
342fd50fda,76527,female,21,15,20,15,17
e7b91ede38,7666,female,19,16,8,17,15
17d74d0bd9,12547,female,28,8,19,16,17
ddcd9c65c1,55650,male,26,18,14,20,12
20b0214bc6,77116,male,27,9,8,7,20
00df5875c3,2241,male,27,11,17,12,10
13435b2c03,93978,female,22,12,9,11,11
d631edd398,97390,female,19,16,10,11,10
716de11f27,99761,male,23,10,15,15,7
24d7af4b3a,94950,female,27,20,10,8,16
730f2a988c,47237,female,28,11,8,9,12
1d78f8e078,52889,male,25,13,12,7,18
b7fe49cd70,15635,male,23,16,9,10,17
8d3dce277d,6862,male,20,7,12,13,15
697c44a65c,18173,female,24,17,7,18,10
b4361da1a3,3163,male,19,20,9,16,18
df0a5e2c5c,43956,male,21,16,7,7,7
7ff7724e88,62998,female,24,14,15,10,9
b2aec45007,94617,male,19,17,20,10,15
69caaef365,6045,male,21,13,18,13,18
a8e38a4d20,21488,female,22,11,14,11,14
15a7a15f1f,64864,female,21,13,17,18,7
f5fc95231f,91040,male,25,16,19,8,17
f09c020973,32100,male,25,11,14,9,7
245eb645f1,78825,female,23,7,17,8,14
793fb7a871,82203,female,25,20,13,18,17
4f5c327ffe,78637,male,23,8,7,7,18
e70e101d3c,58912,male,20,19,8,14,8
462b227bfc,27902,male,27,10,11,7,16
a90b84f449,62475,male,25,10,13,11,18
27b6f10ac9,9387,female,19,8,16,18,20
aba9e98421,46946,male,19,9,12,19,11
1bfbab7470,55415,female,26,13,18,15,15
6a13e00a33,17656,female,26,14,11,20,14
e54c8150a7,970,female,21,15,9,7,17
534652cf17,17687,male,25,9,8,14,13
1ac79ec4e9,53395,male,25,10,9,10,7
33e1f0b143,89089,female,21,16,8,11,8
5e91584a3c,55154,male,27,16,19,16,7
2dc986bdab,60586,female,27,11,15,14,15
a9de1b8a51,68703,female,28,10,11,7,15
0c1cfcf86a,57890,female,27,19,20,8,18
faac273d57,93189,female,19,7,14,13,18
0ae8334a75,42136,female,28,8,18,8,16
0b8fe5d570,34053,male,25,16,11,17,12
b7e667aaf0,84464,male,23,11,14,14,17
f681a028da,59175,male,21,16,17,16,16
6b898f2e1a,49269,female,21,16,18,13,12
053a96df69,31415,female,20,11,15,17,14
fadf178a1a,31521,female,27,20,15,8,11
73f4d951b8,95384,female,25,13,7,19,7
81e7ceb556,36850,male,20,18,16,14,18
05b4475e2c,82943,male,21,10,14,18,18
b21dee5fe6,9584,male,24,9,17,16,18
859d5e3fb1,9695,male,21,15,11,17,17
3decbe2b2b,31917,female,23,13,16,13,16
1d508bd748,43716,male,28,12,19,11,20
658100727d,60317,male,19,15,18,13,13
c9eb158ec5,37020,female,21,12,9,13,12
b96bf5154c,78179,male,27,15,17,11,11
0a0c6798d2,53735,female,22,13,10,17,20
a0a2c075f8,46113,male,19,8,14,17,14
5d1b217f9c,59656,female,23,10,19,20,9
0918e35a9a,31828,female,20,9,8,9,15
08c3ebda34,46735,male,19,16,19,16,15
5d022f96f7,40123,male,25,20,12,15,13
63bf9554c5,46951,female,23,7,7,18,13
9a9b5f9c7f,18993,male,23,20,10,10,14
a27a55f7f1,66715,female,25,20,16,13,9
a04a0252d6,48384,male,21,15,13,18,10
1dec100cbd,18445,female,23,13,10,17,16
7890c7a7be,41653,male,27,16,12,9,8
7548e78c44,54458,male,27,9,16,16,14
b8215e221b,8171,female,23,16,12,11,18
44cab401e5,48949,female,23,10,13,20,9
f94a9c8d7f,29948,male,22,9,9,12,10
be1737ea59,54655,male,19,15,17,12,12
611126b472,74467,male,24,17,18,17,10
dce4e2ce41,86213,female,25,9,17,14,14
db102c7ced,77883,female,23,7,20,10,7
bfdee1389b,96097,male,19,10,19,12,7
fe77c91c49,50335,female,27,7,13,9,18
e3cee9fa71,46416,male,28,9,17,8,19
d1e575ca33,17509,female,26,12,20,9,9
6a2cdaf966,21651,female,20,18,19,13,11
a4e05c3cff,17673,male,20,7,15,9,7
cb2ce905fe,10782,male,26,13,14,14,14
d298d5f173,91486,male,23,16,15,8,13
0a953c0ed8,38953,male,21,11,16,7,7
3821282932,42942,male,22,9,20,12,15
a9c8df8c20,70790,male,25,19,17,12,18
0bf3a0068c,25351,male,23,11,19,17,13
95791bfce7,26249,female,25,18,17,11,19
659399933b,40782,female,27,19,18,12,10
6c2aabc665,22938,female,21,20,13,17,11
9be0b9c4f2,59951,female,19,14,18,10,9
c2bac0d16a,49314,male,23,8,12,16,10
a33d5c6421,91424,female,19,13,15,19,8
7f6bf147ed,21605,female,20,20,15,15,14
287a0fc9c5,75635,female,19,18,8,8,12
966d567088,48849,female,21,9,11,8,8
533d965f32,13220,female,24,8,17,16,10
da2f6b55f3,66474,female,26,9,8,14,15
78bc8f896b,35396,female,24,7,16,17,14
ef0c31b814,43657,female,27,19,9,11,17
47574b4907,33250,female,26,12,18,10,9
d3b82e0ac0,76508,male,23,16,12,7,15
